Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.01471,0.0,8.45,1.3499999046,2.5249314308,1.35,0.523,3.8327,4.328,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.24e-13,0.0,0.7154,0.27,0.002584,0.0007059,0.006413,-1.0,0.01456,3.462,3.342,3.535,3.009
0.01471,0.0,8.45,1.3999999762,2.5299651623,1.4,0.597,3.8424,4.309,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.26e-13,0.0,0.7155,0.27,0.002584,0.0007057,0.006412,-1.0,0.01455,3.278,3.161,3.338,2.851
0.01471,0.0,8.45,1.4500000477,2.5346016884,1.45,0.667,3.8532,4.297,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.23e-13,0.0,0.7156,0.2698,0.002583,0.0007055,0.006409,-1.0,0.01454,3.104,2.99,3.151,2.706
0.01471,0.0,8.45,1.5,2.5388846397,1.5,0.734,3.8656,4.294,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.13e-13,0.0,0.7157,0.2697,0.002582,0.0007052,0.006407,-1.0,0.01458,2.934,2.827,2.968,2.573
0.01471,0.0,8.45,1.5499999523,2.5428512096,1.55,0.8,3.8789,4.296,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.67e-14,0.0,0.7159,0.2695,0.00258,0.0007048,0.006404,-1.0,0.01457,2.771,2.672,2.794,2.451
0.01471,0.0,8.45,1.6000000238,2.5465342999,1.6,0.862,3.8918,4.299,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-7.31e-14,0.0,0.7161,0.2694,0.002579,0.0007046,0.006402,-1.0,0.01455,2.616,2.527,2.63,2.337
0.01471,0.0,8.45,1.6500000954,2.5499615669,1.649,0.922,3.9037,4.301,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-4.12e-14,0.0,0.7162,0.2693,0.002579,0.0007044,0.0064,-1.0,0.01454,2.466,2.39,2.476,2.231
0.01471,0.0,8.45,1.6780221462,2.5517799854,1.677,0.954,3.91,4.301,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.75e-23,0.0,0.7162,0.2692,0.002578,0.0007043,0.006398,-1.0,0.01454,2.385,2.317,2.394,2.174
0.01471,0.0,8.45,1.7000000477,2.5531582832,1.699,0.979,3.9148,4.3,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7163,0.2692,0.002578,0.0007042,0.006398,-1.0,0.01454,2.323,2.262,2.332,2.131
0.01471,0.0,8.45,1.75,2.556145668,1.749,1.034,3.9248,4.298,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7163,0.2691,0.002577,0.000704,0.006396,-1.0,0.01454,2.186,2.141,2.198,2.035
0.01471,0.0,8.45,1.7532091141,2.5563306808,1.752,1.037,3.9254,4.298,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7164,0.2691,0.002577,0.000704,0.006396,-1.0,0.01454,2.177,2.134,2.189,2.029
0.01471,0.0,8.45,1.7999998331,2.5589430332,1.799,1.087,3.9339,4.294,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7164,0.269,0.002577,0.0007038,0.006395,-1.0,0.01451,2.053,2.028,2.073,1.943
0.01471,0.0,8.45,1.8496164083,2.5615477562,1.848,1.137,3.9424,4.289,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7165,0.269,0.002576,0.0007037,0.006394,-1.0,0.01453,1.926,1.922,1.957,1.856
0.01471,0.0,8.45,1.8499999046,2.5615673065,1.849,1.138,3.9425,4.289,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7165,0.269,0.002576,0.0007037,0.006394,-1.0,0.01453,1.925,1.921,1.956,1.855
0.01471,0.0,8.45,1.8779976368,2.5629665852,1.877,1.166,3.947,4.285,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7165,0.269,0.002576,0.0007037,0.006393,-1.0,0.01451,1.855,1.864,1.894,1.806
0.01471,0.0,8.45,1.8999999762,2.5640332699,1.899,1.188,3.9504,4.283,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.269,0.002576,0.0007036,0.006393,-1.0,0.01448,1.801,1.819,1.846,1.768
0.01471,0.0,8.45,1.9286756516,2.5653812885,1.928,1.216,3.9548,4.278,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.2689,0.002575,0.0007036,0.006392,-1.0,0.0145,1.731,1.763,1.786,1.72
0.01471,0.0,8.45,1.9500000477,2.5663545132,1.95,1.236,3.958,4.275,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.2689,0.002575,0.0007036,0.006392,-1.0,0.01452,1.679,1.722,1.742,1.684
