Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.013188,-0.05,8.0,0.0900000036,1.0816895962,0.09,-2.746,3.4081,4.722,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.32e-16,0.0,0.7148,0.2719,0.002389,0.0006447,0.005847,-1.0,0.01329,11.634,13.662,16.456,12.186
0.013188,-0.05000,8.00000,0.0900000036,1.0816895962,0.090,-2.746,3.4081,4.722,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.32e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,11.634,13.662,16.456,12.186
0.013188,-0.05000,8.00000,0.0954527482,1.1319583654,0.095,-2.701,3.4142,4.727,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.55e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,11.522,13.550,16.346,12.074
0.013188,-0.05000,8.00000,0.1000000015,1.1711064577,0.100,-2.664,3.4195,4.732,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.75e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,11.431,13.425,16.178,11.957
0.013188,-0.05000,8.00000,0.1093222797,1.2445731163,0.109,-2.600,3.4276,4.739,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.13e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,11.270,13.147,15.748,11.706
0.013188,-0.05000,8.00000,0.1200000048,1.3193155527,0.120,-2.530,3.4371,4.747,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.59e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,11.094,12.845,15.287,11.434
0.013188,-0.05000,8.00000,0.1358081698,1.4153925180,0.136,-2.445,3.4468,4.755,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.18e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,10.884,12.512,14.802,11.130
0.013188,-0.05000,8.00000,0.1400000006,1.4384527206,0.140,-2.424,3.4492,4.757,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-5.36e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,10.830,12.427,14.678,11.053
0.013188,-0.05000,8.00000,0.1599999964,1.5372931957,0.160,-2.330,3.4604,4.765,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.16e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,10.595,12.053,14.123,10.716
0.013188,-0.05000,8.00000,0.1743412316,1.5987735987,0.174,-2.272,3.4667,4.770,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.71e-16,0.00,7.148e-01,2.719e-01,2.389e-03,6.447e-04,5.847e-03,-1.000,1.329e-02,10.450,11.838,13.818,10.521
