Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.01471,0.0,7.4,0.0900000036,1.0816895962,0.09,-2.332,3.4042,4.293,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.601,12.633,15.288,11.171
0.01471,0.0,7.4,0.0900000036,1.0816895962,0.09,-2.332,3.4042,4.293,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.601,12.633,15.288,11.171
0.01471,0.0,7.4,0.0925538465,1.105712533,0.093,-2.315,3.4062,4.296,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.44e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.557,12.59,15.245,11.127
0.01471,0.0,7.4,0.1000000015,1.1711064577,0.1,-2.263,3.4118,4.3,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.56e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.427,12.46,15.116,10.997
0.01471,0.0,7.4,0.1063316911,1.2219208479,0.106,-2.223,3.4161,4.304,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.64e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.328,12.353,15.0,10.891
0.01471,0.0,7.4,0.1200000048,1.3193155527,0.12,-2.142,3.4249,4.31,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.85e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,10.124,12.05,14.579,10.611
0.01471,0.0,7.4,0.1400000006,1.4384527206,0.14,-2.038,3.4362,4.319,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.16e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.866,11.636,13.985,10.233
0.01471,0.0,7.4,0.1639503986,1.5549230576,0.164,-1.935,3.448,4.331,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.49e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.607,11.23,13.412,9.862
0.01471,0.0,7.4,0.1895947158,1.657335639,0.19,-1.839,3.4582,4.34,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.86e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.368,10.866,12.901,9.53
0.01471,0.0,7.4,0.218358919,1.7526888847,0.218,-1.749,3.4679,4.35,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.22e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.143,10.534,12.445,9.227
0.01471,0.0,7.4,0.2214682698,1.7620130777,0.221,-1.74,3.4688,4.351,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.26e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.121,10.502,12.401,9.198
0.01471,0.0,7.4,0.2328872383,1.7948489189,0.233,-1.707,3.4722,4.352,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.45e-15,0.0,0.7107,0.2745,0.002655,0.0007163,0.006496,-1.0,0.01476,9.036,10.382,12.24,9.088
